St Hild & St Bede,Brooks,St Cuthbert’s,University,Hatfield,St John’s,St Chad’s,St Mary’s,Grey,Van Mildert,Collingwood,Josephine Butler,Trevelyan,Stephenson,St Aidan’s,John Snow
St Hild & St Bede,99999,15,21,17,16,19,17,31,28,35,31,37,32,38,36,37
Brooks,15,99999,16,14,13,14,12,23,21,27,24,30,25,30,28,29
St Cuthbert’s,21,16,99999,8,6,2,5,11,15,16,17,22,15,23,16,21
University,17,14,8,99999,4,6,4,17,20,23,23,28,21,29,23,28
Hatfield,16,13,6,4,99999,3,2,16,17,21,20,26,20,27,21,26
St John’s,19,14,2,6,3,99999,2,13,17,18,19,24,17,25,18,23
St Chad’s,17,12,5,4,2,2,99999,15,17,20,20,26,19,26,20,25
St Mary’s,31,23,11,17,16,13,15,99999,7,5,6,11,4,12,5,11
Grey,28,21,15,20,17,17,17,7,99999,6,3,9,4,10,10,8
Van Mildert,35,27,16,23,21,18,20,5,6,99999,4,9,2,9,5,8
Collingwood,31,24,17,23,20,19,20,6,3,4,99999,6,2,7,8,6
Josephine Butler,37,30,22,28,26,24,26,11,9,9,6,99999,8,2,13,1
Trevelyan,32,25,15,21,20,17,19,4,4,2,2,8,99999,9,6,8
Stephenson,38,30,23,29,27,25,26,12,10,9,7,2,9,99999,13,1
St Aidan’s,36,28,16,23,21,18,20,5,10,5,8,13,6,13,99999,12
John Snow,37,29,21,28,26,23,25,11,8,8,6,1,8,1,12,99999
